Brand Code,Carb Volume,Fill Ounces,PC Volume,Carb Pressure,Carb Temp,PSC,PSC Fill,PSC CO2,Mnf Flow,Carb Pressure1,Fill Pressure,Hyd Pressure1,Hyd Pressure2,Hyd Pressure3,Hyd Pressure4,Filler Level,Filler Speed,Temperature,Usage cont,Carb Flow,Density,MFR,Balling,Pressure Vacuum,PH,Oxygen Filler,Bowl Setpoint,Pressure Setpoint,Air Pressurer,Alch Rel,Carb Rel,Balling Lvl
B,5.340,23.967,0.263,68.2,141.2,0.104,0.260,0.040,-100,118.8,46,0,0,0,118,121.2,4002,66,16.18,2932,0.88,725,1.398,-4,8.36,0.022,120,46.4,142.6,6.58,5.32,1.48
A,5.427,24.007,0.239,68.4,139.6,0.124,0.220,0.040,-100,121.6,46,0,0,0,106,118.6,3986,67.6,19.9,3144,0.92,726.8,1.498,-4,8.26,0.026,120,46.8,143,6.56,5.3,1.56
B,5.287,24.060,0.263,70.8,144.8,0.09,0.340,0.160,-100,120.2,46,0,0,0,82,120,4020,67,17.76,2914,1.58,735,3.142,-3.8,8.94,0.024,120,46.6,142,7.66,5.84,3.28
A,5.440,24.007,0.293,63,132.6,0,0.420,0.040,-100,115.2,46.4,0,0,0,92,117.8,4012,65.6,17.42,3062,1.54,730.6,3.042,-4.4,8.24,0.03,120,46,146.2,7.14,5.42,3.04
A,5.487,24.313,0.111,67.2,136.8,0.026,0.160,0.120,-100,118.4,45.8,0,0,0,92,118.6,4010,65.6,17.68,3054,1.54,722.8,3.042,-4.4,8.26,0.03,120,46,146.2,7.14,5.44,3.04
A,5.380,23.927,0.269,66.6,138.4,0.09,0.240,0.040,-100,119.6,45.6,0,0,0,116,120.2,4014,66.2,23.82,2948,1.52,738.8,2.992,-4.4,8.32,0.024,120,46,146.6,7.16,5.44,3.02
A,5.313,23.887,0.268,64.2,136.8,0.128,0.400,0.040,-100,122.2,51.8,0,0,0,124,123.4,0,65.8,20.74,30,0.84,0,1.298,-4.4,8.4,0.066,120,46,146.2,6.54,5.38,1.44
B,5.320,24.173,0.221,67.6,141.4,0.154,0.340,0.040,-100,124.2,46.8,0,0,0,132,118.6,1004,65.2,18.96,684,0.84,0,1.298,-4.4,8.38,0.046,120,46,146.4,6.52,5.34,1.44
B,5.247,23.980,0.263,64.2,140.2,0.132,0.120,0.140,-100,120.8,46,0,0,0,90,120.2,4014,65.4,18.4,2902,0.9,740.4,1.446,-4.4,8.38,0.064,120,46,147.2,6.52,5.34,1.44
B,5.267,24.007,0.231,72,147.4,0.014,0.240,0.060,-100,119.8,45.2,0,0,0,108,120.8,4028,66.6,13.5,3038,0.9,692.4,1.448,-4.4,8.5,0.022,120,46,146.2,6.54,5.34,1.38
