"","zero_count"
"Brand.Code",120
"Carb.Volume",10
"Fill.Ounces",38
"PC.Volume",39
"Carb.Pressure",27
"Carb.Temp",26
"PSC",33
"PSC.Fill",35
"PSC.CO2",147
"Mnf.Flow",2
"Carb.Pressure1",32
"Fill.Pressure",22
"Hyd.Pressure1",851
"Hyd.Pressure2",793
"Hyd.Pressure3",828
"Hyd.Pressure4",30
"Filler.Level",20
"Filler.Speed",57
"Temperature",14
"Usage.cont",5
"Carb.Flow",2
"Density",1
"MFR",212
"Balling",1
"Pressure.Vacuum",0
"PH",4
"Oxygen.Filler",12
"Bowl.Setpoint",2
"Pressure.Setpoint",12
"Air.Pressurer",0
"Alch.Rel",9
"Carb.Rel",10
"Balling.Lvl",8
